frame,original,ocr_result,confidence,is_different
225,28 40,28,1.0,True
226,28 40,28,1.0,True
227,28 40,28,1.0,True
228,28 40,28,1.0,True
229,28 40,28,1.0,True
230,28 40,28,1.0,True
231,28 40,28,1.0,True
232,28 40,28,1.0,True
233,28 40,28,1.0,True
234,28 40,28,1.0,True
235,28 40,28,1.0,True
236,28 40,28,1.0,True
237,28 40,28,1.0,True
238,28 40,28,1.0,True
239,28 40,28,1.0,True
240,28 40,28,1.0,True
241,28 40,28,1.0,True
242,28 40,28,1.0,True
243,28 40,28,1.0,True
244,28 40,28,1.0,True
245,28 40,28,1.0,True
246,28 40,28,1.0,True
247,28 40,28,1.0,True
248,28 40,28,1.0,True
249,28 40,28,1.0,True
250,28 40,28,1.0,True
251,28 40,28,1.0,True
252,28 40,28,1.0,True
253,28 40,28,1.0,True
254,28 40,28,1.0,True
255,28 40,28,1.0,True
256,28 40,28,1.0,True
257,28 40,28,1.0,True
258,28 40,28,1.0,True
259,28 40,28,1.0,True
260,28 40,28,1.0,True
261,28 40,28,1.0,True
262,28 40,28,1.0,True
263,28 40,28,1.0,True
264,28 40,28,1.0,True
265,28 40,28,1.0,True
266,28 40,28,1.0,True
267,28 40,28,1.0,True
268,28 40,28,1.0,True
269,28 40,28,1.0,True
270,28 40,28,1.0,True
271,28 40,28,1.0,True
272,28 40,28,1.0,True
273,28 40,28,1.0,True
274,28 40,28,1.0,True
275,28 40,28,1.0,True
276,28 40,28,1.0,True
277,28 40,28,1.0,True
278,28 40,28,1.0,True
279,28 40,28,1.0,True
280,28 40,28,1.0,True
281,28 40,28,1.0,True
282,28 40,28,1.0,True
283,28 40,28,1.0,True
284,28 40,28,1.0,True
285,28 40,28,1.0,True
286,28 40,28,1.0,True
287,28 40,28,1.0,True
288,28 40,28,1.0,True
289,28 40,28,1.0,True
290,28 40,28,1.0,True
291,28 40,28,1.0,True
292,28 40,28,0.999999915706304,True
293,28 40,28,1.0,True
294,28 40,28,1.0,True
295,28 40,28,0.999999915706304,True
296,28 40,28,1.0,True
297,28 40,28,1.0,True
298,28 40,28,1.0,True
299,28 40,28,1.0,True
300,28 40,28,1.0,True
301,28 40,28,1.0,True
302,28 40,28,1.0,True
303,28 40,28,1.0,True
304,28 40,28,1.0,True
305,28 40,28,1.0,True
306,28 40,28,1.0,True
307,28 40,28,1.0,True
308,28 40,28,1.0,True
309,28 40,28,1.0,True
310,28 40,28,1.0,True
311,28 40,28,1.0,True
312,28 40,28,1.0,True
313,28 40,28,1.0,True
314,28 40,28,1.0,True
315,28 40,28,1.0,True
316,28 40,28,1.0,True
317,28 40,28,1.0,True
318,28 40,28,1.0,True
319,28 40,28,1.0,True
320,28 40,28,1.0,True
321,28 40,28,1.0,True
322,28 40,28,1.0,True
323,28 40,28,1.0,True
324,28 40,28,1.0,True
325,28 40,28,1.0,True
326,28 40,28,1.0,True
327,28 40,28,0.999999915706304,True
328,28 40,28,1.0,True
329,28 40,28,1.0,True
330,28 40,28,1.0,True
331,28 40,28,1.0,True
332,28 40,28,1.0,True
333,28 40,28,1.0,True
334,28 40,28,1.0,True
335,28 40,28,1.0,True
336,28 40,28,1.0,True
337,28 40,28,1.0,True
338,28 40,28,1.0,True
339,28 40,28,1.0,True
340,28 40,28,1.0,True
341,28 40,28,1.0,True
342,28 40,28,1.0,True
343,28 40,28,1.0,True
344,28 40,28,1.0,True
345,28 40,28,1.0,True
346,28 40,28,1.0,True
347,28 40,28,1.0,True
348,28 40,28,1.0,True
349,28 40,28,1.0,True
350,28 40,28,1.0,True
351,28 40,28,1.0,True
352,28 40,28,1.0,True
353,28 40,28,1.0,True
354,28 40,28,1.0,True
355,28 40,28,1.0,True
356,28 40,28,1.0,True
357,28 40,28,1.0,True
358,28 40,28,1.0,True
359,28 40,28,1.0,True
360,28 40,28,1.0,True
361,28 40,28,1.0,True
362,28 40,28,1.0,True
363,28 40,28,1.0,True
364,28 40,28,1.0,True
365,28 40,28,1.0,True
366,28 40,28,1.0,True
367,28 40,28,1.0,True
368,28 40,28,1.0,True
369,28 40,28,1.0,True
370,28 40,28,1.0,True
371,28 40,28,1.0,True
372,28 40,28,1.0,True
373,28 40,28,1.0,True
374,28 40,28,1.0,True
375,28 40,28,1.0,True
376,28 40,28,1.0,True
377,28 40,28,1.0,True
378,28 40,28,1.0,True
379,28 40,28,1.0,True
380,28 40,28,1.0,True
381,28 40,28,1.0,True
382,28 40,28,1.0,True
383,28 40,28,1.0,True
384,28 40,28,1.0,True
385,28 40,28,1.0,True
386,28 40,28,1.0,True
387,28 40,28,1.0,True
388,28 40,28,1.0,True
389,28 40,28,1.0,True
390,28 40,28,1.0,True
391,28 40,28,1.0,True
392,28 40,28,1.0,True
