Frame_Pair,T_MAD,Label_Changed,Label_Frame1,Label_Frame2
4405_vs_4406,0.0042729591836734694,False,24,24
4406_vs_4407,0.0,False,24,24
4407_vs_4408,0.002295918367346939,False,24,24
4408_vs_4409,0.0,False,24,24
4409_vs_4410,0.018176020408163265,False,24,24
4410_vs_4411,0.0,False,24,24
4411_vs_4412,0.0,False,24,24
4412_vs_4413,0.0,False,24,24
4413_vs_4414,0.0,False,24,24
4414_vs_4415,0.0,False,24,24
4415_vs_4416,0.0,False,24,24
4416_vs_4417,0.0,False,24,24
4417_vs_4418,0.0,False,24,24
4418_vs_4419,0.0,False,24,24
4419_vs_4420,0.0,False,24,24
4420_vs_4421,0.0,False,24,24
4421_vs_4422,0.0,False,24,24
4422_vs_4423,0.0,False,24,24
4423_vs_4424,0.0,False,24,24
4424_vs_4425,0.0,False,24,24
4425_vs_4426,0.0,False,24,24
4426_vs_4427,0.0,False,24,24
4427_vs_4428,0.0,False,24,24
4428_vs_4429,0.0,False,24,24
4429_vs_4430,0.0,False,24,24
4430_vs_4431,0.0,False,24,24
4431_vs_4432,0.0,False,24,24
4432_vs_4433,0.0,False,24,24
4433_vs_4434,0.0,False,24,24
4434_vs_4435,0.0,False,24,24
4435_vs_4436,0.0,False,24,24
4436_vs_4437,0.006568877551020408,False,24,24
4437_vs_4438,0.01747448979591837,False,24,24
4438_vs_4439,0.0,False,24,24
4439_vs_4440,0.0,False,24,24
4440_vs_4441,0.0,False,24,24
4441_vs_4442,0.0,False,24,24
4442_vs_4443,0.0065051020408163265,False,24,24
4443_vs_4444,0.010650510204081632,False,24,24
4444_vs_4445,0.0,False,24,24
4445_vs_4446,0.0,False,24,24
4446_vs_4447,0.009183673469387756,False,24,24
4447_vs_4448,0.0,False,24,24
4448_vs_4449,0.0,False,24,24
4449_vs_4450,0.0,False,24,24
4450_vs_4451,0.017857142857142856,False,24,24
4451_vs_4452,0.04872448979591837,False,24,24
4452_vs_4453,0.06887755102040816,False,24,24
4453_vs_4454,0.02346938775510204,False,24,24
4454_vs_4455,0.0,False,24,24
4455_vs_4456,0.0,False,24,24
4456_vs_4457,0.01524234693877551,False,24,24
4457_vs_4458,0.0,False,24,24
4458_vs_4459,0.0,False,24,24
4459_vs_4460,0.004719387755102041,False,24,24
4460_vs_4461,0.002104591836734694,False,24,24
4461_vs_4462,0.0,False,24,24
4462_vs_4463,0.0019770408163265305,False,24,24
4463_vs_4464,0.012244897959183673,False,24,24
4464_vs_4465,0.024170918367346937,False,24,24
4465_vs_4466,0.0326530612244898,False,24,24
4466_vs_4467,0.004209183673469388,False,24,24
4467_vs_4468,0.010395408163265306,False,24,24
4468_vs_4469,0.0,False,24,24
4469_vs_4470,0.004464285714285714,False,24,24
4470_vs_4471,0.0,False,24,24
4471_vs_4472,0.0,False,24,24
4472_vs_4473,0.0019770408163265305,False,24,24
4473_vs_4474,0.0,False,24,24
4474_vs_4475,0.0,False,24,24
4475_vs_4476,0.010012755102040817,False,24,24
4476_vs_4477,0.0,False,24,24
4477_vs_4478,0.0,False,24,24
4478_vs_4479,0.0,False,24,24
4479_vs_4480,0.0,False,24,24
4480_vs_4481,0.0,False,24,24
4481_vs_4482,0.0,False,24,24
4482_vs_4483,0.0,False,24,24
4483_vs_4484,0.003954081632653061,False,24,24
4484_vs_4485,0.006186224489795918,False,24,24
4485_vs_4486,0.002232142857142857,False,24,24
4486_vs_4487,0.0,False,24,24
4487_vs_4488,0.0,False,24,24
4488_vs_4489,0.020153061224489795,False,24,24
4489_vs_4490,0.002614795918367347,False,24,24
4490_vs_4491,0.007971938775510204,False,24,24
4491_vs_4492,0.03705357142857143,False,24,24
4492_vs_4493,0.03411989795918367,False,24,24
4493_vs_4494,0.004528061224489796,False,24,24
4494_vs_4495,0.0,False,24,24
4495_vs_4496,0.008864795918367347,False,24,24
4496_vs_4497,0.002295918367346939,False,24,24
4497_vs_4498,0.03144132653061225,False,24,24
4498_vs_4499,0.022448979591836733,False,24,24
4499_vs_4500,0.0,False,24,24
4500_vs_4501,0.0274234693877551,False,24,24
4501_vs_4502,0.020918367346938777,False,24,24
4502_vs_4503,0.0,False,24,24
4503_vs_4504,0.0019770408163265305,False,24,24
4504_vs_4505,0.03450255102040816,False,24,24
4505_vs_4506,0.08571428571428572,False,24,24
4506_vs_4507,0.02072704081632653,False,24,24
4507_vs_4508,0.09330357142857143,False,24,24
4508_vs_4509,0.056823979591836736,False,24,24
4509_vs_4510,0.10573979591836735,False,24,24
4510_vs_4511,0.020982142857142855,False,24,24
4511_vs_4512,0.00822704081632653,False,24,24
4512_vs_4513,0.030293367346938774,False,24,24
4513_vs_4514,0.12040816326530612,False,24,24
4514_vs_4515,0.08360969387755102,False,24,24
4515_vs_4516,0.03309948979591837,False,24,24
4516_vs_4517,0.002423469387755102,False,24,24
4517_vs_4518,0.0,False,24,24
4518_vs_4519,0.020918367346938777,False,24,24
4519_vs_4520,0.12901785714285716,False,24,24
4520_vs_4521,0.19661989795918366,False,24,24
4521_vs_4522,0.23335459183673468,False,24,24
4522_vs_4523,0.024362244897959184,False,24,24
4523_vs_4524,0.16052295918367346,False,24,24
4524_vs_4525,0.26441326530612247,False,24,24
4525_vs_4526,0.2225765306122449,False,24,24
4526_vs_4527,0.13890306122448978,False,24,24
4527_vs_4528,0.06658163265306122,False,24,24
4528_vs_4529,0.08316326530612245,False,24,24
4529_vs_4530,0.0,False,24,24
4530_vs_4531,0.0,False,24,24
4531_vs_4532,0.17480867346938775,False,24,24
4532_vs_4533,0.2583545918367347,False,24,24
4533_vs_4534,0.0,False,24,24
4534_vs_4535,0.0639030612244898,False,24,24
4535_vs_4536,0.021619897959183672,False,24,24
4536_vs_4537,0.011096938775510204,False,24,24
4537_vs_4538,0.046301020408163265,False,24,24
4538_vs_4539,0.0,False,24,24
4539_vs_4540,0.22410714285714287,False,24,24
4540_vs_4541,0.1420280612244898,False,24,24
4541_vs_4542,0.02506377551020408,False,24,24
4542_vs_4543,0.06020408163265306,False,24,24
4543_vs_4544,0.062372448979591835,False,24,24
4544_vs_4545,0.0044005102040816325,False,24,24
4545_vs_4546,0.04776785714285714,False,24,24
4546_vs_4547,0.19081632653061226,False,24,24
4547_vs_4548,0.1298469387755102,False,24,24
4548_vs_4549,0.18807397959183675,False,24,24
4549_vs_4550,0.14158163265306123,False,24,24
4550_vs_4551,0.0,False,24,24
4551_vs_4552,0.026403061224489797,False,24,24
4552_vs_4553,0.056823979591836736,False,24,24
4553_vs_4554,0.028826530612244897,False,24,24
4554_vs_4555,0.002104591836734694,False,24,24
4555_vs_4556,0.002614795918367347,False,24,24
4556_vs_4557,0.02028061224489796,False,24,24
4557_vs_4558,0.0,False,24,24
4558_vs_4559,0.0,False,24,24
4559_vs_4560,0.0019770408163265305,False,24,24
4560_vs_4561,0.0,False,24,24
4561_vs_4562,0.0,False,24,24
4562_vs_4563,0.0,False,24,24
4563_vs_4564,0.0023596938775510205,False,24,24
4564_vs_4565,0.004145408163265306,False,24,24
4565_vs_4566,0.0,False,24,24
4566_vs_4567,0.0,False,24,24
4567_vs_4568,0.0,False,24,24
4568_vs_4569,0.0,False,24,24
4569_vs_4570,0.003954081632653061,False,24,24
4570_vs_4571,0.0,False,24,24
4571_vs_4572,0.0,False,24,24
4572_vs_4573,0.002232142857142857,False,24,24
4573_vs_4574,0.0,False,24,24
4574_vs_4575,0.0,False,24,24
4575_vs_4576,0.0,False,24,24
4576_vs_4577,0.0,False,24,24
4577_vs_4578,0.0,False,24,24
4578_vs_4579,0.0,False,24,24
4579_vs_4580,0.0,False,24,24
4580_vs_4581,0.0,False,24,24
4581_vs_4582,0.0,False,24,24
4582_vs_4583,0.0020408163265306124,False,24,24
4583_vs_4584,0.0,False,24,24
4584_vs_4585,0.0,False,24,24
4585_vs_4586,0.006568877551020408,False,24,24
4586_vs_4587,0.0,False,24,24
4587_vs_4588,0.0,False,24,24
4588_vs_4589,0.0,False,24,24
4589_vs_4590,0.0,False,24,24
4590_vs_4591,0.009183673469387756,False,24,24
